order,pv,wt,load
0,0.0,0.874944,4.3344000000000005
1,0.0,0.8761711466778264,6.5016
2,0.0,0.7612411348334628,7.5851999999999995
3,0.0,0.5829604844688944,8.668800000000001
4,0.0,0.8245493014837025,8.668800000000001
5,0.0,0.874944,8.668800000000001
6,0.0,0.874944,8.668800000000001
7,0.0,0.7612411348334628,8.668800000000001
8,0.0,0.3891449872722603,10.836
9,0.020325600000000003,0.10281579043822148,10.836
10,0.19763856000000005,0.8245493014837025,10.836
11,0.35615663999999997,0.874944,10.836
12,0.31462884,0.874944,10.836
13,0.5246208,0.874944,10.836
14,0.51505776,0.8590684570012332,10.836
15,0.22794660000000003,0.8073014803641785,10.836
16,0.3132504000000001,0.874944,10.836
17,0.1489176,0.874944,10.836
18,0.010116,0.8245493014837025,10.836
19,0.0,0.7834787634667747,8.668800000000001
20,0.0,0.7612411348334628,8.668800000000001
21,0.0,0.7138518795528009,8.668800000000001
22,0.0,0.6632315885676616,7.5851999999999995
23,0.0,0.6369551653037454,4.3344000000000005
24,0.0,0.5829604844688944,6.0371999999999995
25,0.0,0.3891449872722603,6.0371999999999995
26,0.0,0.23617045257386254,6.0371999999999995
27,0.0,0.10281579043822148,8.049600000000002
28,0.0,0.3891449872722603,8.049600000000002
29,0.0,0.7612411348334628,8.049600000000002
30,0.0,0.5829604844688944,8.049600000000002
31,0.0,0.8761711466778264,8.049600000000002
32,0.0,0.874944,8.049600000000002
33,0.03988764,0.874944,10.062000000000001
34,0.20347200000000001,0.874944,10.062000000000001
35,0.36417600000000006,0.874944,10.062000000000001
36,0.4195854000000001,0.874944,10.062000000000001
37,0.53855136,0.874944,10.062000000000001
38,0.52874964,0.874944,10.062000000000001
39,0.43782156000000005,0.8590684570012332,10.062000000000001
40,0.32279040000000003,0.874944,7.043399999999999
41,0.15431040000000001,0.874944,8.049600000000002
42,0.01635264,0.8245493014837025,7.043399999999999
43,0.0,0.7612411348334628,6.0371999999999995
44,0.0,0.6632315885676616,6.0371999999999995
45,0.0,0.5829604844688944,6.0371999999999995
46,0.0,0.4998360411560716,7.043399999999999
47,0.0,0.3891449872722603,5.031000000000001
48,0.0,0.3096678984090568,7.043399999999999
49,0.0,0.23617045257386254,7.043399999999999
50,0.0,0.15205558992565227,6.0371999999999995
51,0.0,0.10281579043822148,5.031000000000001
52,0.0,0.3891449872722603,4.024800000000001
53,0.0,0.7612411348334628,4.024800000000001
54,0.0,0.5829604844688944,5.031000000000001
55,0.0,0.8245493014837025,6.0371999999999995
56,0.0,0.874944,8.049600000000002
57,0.03935736,0.874944,10.062000000000001
58,0.20438891999999997,0.874944,10.062000000000001
59,0.36752688000000006,0.874944,10.062000000000001
60,0.48453119999999994,0.874944,10.062000000000001
61,0.54370008,0.874944,10.062000000000001
62,0.5342400000000002,0.874944,10.062000000000001
63,0.45327599999999996,0.874944,10.062000000000001
64,0.32904144,0.874944,10.062000000000001
65,0.1586952,0.8761711466778264,10.062000000000001
66,0.017546040000000002,0.5829604844688944,10.062000000000001
67,0.0,0.4441431471237265,10.062000000000001
68,0.0,0.3096678984090568,7.043399999999999
69,0.0,0.19180276921663672,7.043399999999999
70,0.0,0.10281579043822148,6.0371999999999995
71,0.0,0.054974992965562984,6.0371999999999995
72,0.0,0.0,3.8184
73,0.0,0.0,3.8184
74,0.0,0.0,3.8184
75,0.0,0.0,5.7276
76,0.0,0.0,6.682200000000001
77,0.0,0.0,7.6368
